http://stad.gent/id/concepts/policy_domains_themes/concept_55,Overig woonbeleid
http://stad.gent/id/concepts/policy_domains_themes/concept_57,Elektriciteitsvoorziening
http://stad.gent/id/concepts/policy_domains_themes/concept_58,Gasvoorziening
http://stad.gent/id/concepts/policy_domains_themes/concept_60,Groene ruimte
http://stad.gent/id/concepts/policy_domains_themes/concept_62,Begraafplaatsen
http://stad.gent/id/concepts/policy_domains_themes/concept_64,Handel en middenstand
http://stad.gent/id/concepts/policy_domains_themes/concept_65,Nijverheid
http://stad.gent/id/concepts/policy_domains_themes/concept_67,Werkgelegenheid
http://stad.gent/id/concepts/policy_domains_themes/concept_68,Overige economische zaken
http://stad.gent/id/concepts/policy_domains_themes/concept_71,Toerisme ‐ Sectorondersteuning
http://stad.gent/id/concepts/policy_domains_themes/concept_72,Overige activiteiten inzake toerisme
http://stad.gent/id/concepts/policy_domains_themes/concept_75,Openbare bibliotheken
http://stad.gent/id/concepts/policy_domains_themes/concept_77,Feesten en plechtigheden
http://stad.gent/id/concepts/policy_domains_themes/concept_8,Welzijn en samenleven
http://stad.gent/id/concepts/policy_domains_themes/concept_80,Overig beleid inzake het erfgoed
http://stad.gent/id/concepts/policy_domains_themes/concept_81,Overig kunst‐ en cultuurbeleid
http://stad.gent/id/concepts/policy_domains_themes/concept_83,Sportinfrastructuur
http://stad.gent/id/concepts/policy_domains_themes/concept_84,Jeugdsector‐ en verenigingsondersteuning
http://stad.gent/id/concepts/policy_domains_themes/concept_85,Gemeentelijke dienstverlening gericht op kinderen & jongeren
http://stad.gent/id/concepts/policy_domains_themes/concept_86,nfrastructuur en faciliteiten ten behoeve van kinderen en jongeren
http://stad.gent/id/concepts/policy_domains_themes/concept_87,Gewoon basisonderwijs
http://stad.gent/id/concepts/policy_domains_themes/concept_89,Gewoon secundair onderwijs
http://stad.gent/id/concepts/policy_domains_themes/concept_9,Politiediensten
http://stad.gent/id/concepts/policy_domains_themes/concept_98,Sociale voordelen
